PrimaryKey,DateUpdated,ProcuringAgencyOrganisation,ProjectName,ProjectShortDescription,ParentProjectID,ProjectStatus,FundingStatus,ProcurementType,ProcurementMethod,ProjectRegion,ProjectCityTown,ProjectSuburb,ProjectSector,EstimatedProjectValueRange,EstimatedQuarterBusinessCaseStart,EstimatedQuarterBusinessCaseCompletion,EstimatedQuarterProcurementStart,EstimatedQuarterProcurementCompletion,EstimatedQuarterConstructionStart,EstimatedQuarterConstructionCompletion,EstimatedQuarterProjectRangeStart,EstimatedQuarterProjectRangeCompletion,ProjectInfoURL,EstimatedProjectValueNote,Contact,Latitude,Longitude
IP009598,19/03/2024,Ashburton District Council,Filtration and UV disinfection installation - Multiple Schemes.,Addition of UV and cartridge filtration equipment  plus associated building modifications/new buildings.,,In planning,Fully funded,Open,Construct only,Canterbury,,,Water,5 - 25 million,,,,,2024-Q2,,2023-Q4,2025-Q2,,,,,
IP009601,19/03/2024,Ashburton District Council,Watermain renewals 2025/26.,Pipeline renewals  typically around 100-150mm size. Mixture of urban and rural.,,In planning,Funding source to be confirmed,Open,Construct only,Canterbury,,,Water,5 - 25 million,,,,,,,2025-Q3,2026-Q2,,,,,
IP009602,5/12/2023,Ashburton District Council,Montalto treatment and reticulation upgrades.,Rural water supply. Upgraded treatment system and reticulation renewal.,,Early planning,Funding source to be confirmed,To be determined,To be determined,Canterbury,,,Water,5 - 25 million,,,,,,,2025-Q3,2026-Q2,,,,,
IP009603,19/03/2024,Ashburton District Council,Ashburton WWTP aerator renewal.,Replacement of old surface aeration system with a new modern aeration system  including control based on DO monitoring. Seeking increased effectiveness and reduced operating costs.,,In procurement,Fully funded,Direct,Construct only,Canterbury,,,Water,< 1 million,,,,,,2024-Q3,2023-Q3,2024-Q3,,,,,
IP009605,5/12/2023,Ashburton District Council,Ashburton WWTP Fencing Replacement.,Upgrade of existing fencing around oxidation ponds to properly exclude access.,,Early planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Water,< 1 million,,,,,,,2024-Q3,2025-Q2,,,,,
IP009607,5/12/2023,Ashburton District Council,Sewermain renewals 2025/26.,Pipeline renewals  typically around 150-375mm size.,,Early planning,Funding source to be confirmed,Open,Construct only,Canterbury,,,Water,1 - 5 million,,,,,,,2025-Q3,2026-Q2,,,,,
IP009871,19/03/2024,Ashburton District Council,Rakaia WWTP Sludge Drying Beds.,Installation of sludge drying beds and associated infrastructure.,,In planning,Funding source confirmed,Open,Construct only,Canterbury,,,Water,1 - 5 million,,,2024-Q2,2024-Q2,2024-Q3,2024-Q3,2024-Q1,2024-Q4,,,,,
IP009872,19/03/2024,Ashburton District Council,Second Bridge Watermains.,Construction of ~DN300 watermain on Ashburton second bridge  and extension along proposed new road  connecting back to the existing network.,,Early planning,Funding source to be confirmed,To be determined,To be determined,Canterbury,,,Water,1 - 5 million,,,,,,,2025-Q3,2029-Q2,,,,,
IP009873,19/03/2024,Ashburton District Council,Methven WWTP Receiving Screen Renewal.,Renewal of old auger screen for WWTP.,,Early planning,Funding source confirmed,To be determined,To be determined,Canterbury,,,Water,< 1 million,,,,,,,2025-Q3,2026-Q2,,,,,
IP009874,5/12/2023,Ashburton District Council,Rakaia WWTP UV Renewal.,Renewal of old inline UV disinfection system.,,Early planning,Funding source to be confirmed,To be determined,To be determined,Canterbury,,,Water,< 1 million,,,,,,,2026-Q3,2027-Q2,,,,,
IP009875,5/12/2023,Ashburton District Council,Grit Chamber to River Pipeline Renewal.,Renewal of 1.5km of DN800 trunk sewr.,,In planning,Funding source to be confirmed,Open,Construct only,Canterbury,,,Water,1 - 5 million,,,,,,,2024-Q3,2025-Q2,,,,,
IP002807,20/12/2023,Auckland Transport,Seismic Strengthening Programme.,Replace/repair the seawall between Princess & Queens Wharves and strengthen Quay Street between Princes & Marsden Wharves against seismic failures.,,Under construction,Fully funded,Direct,Other,Auckland,,,Transport,5 - 25 million,,,,,2019-Q3,2031-Q2,2017-Q4,2031-Q2,https://at.govt.nz/projects-roadworks/downtown-programme/,,,,
