"PrimaryKey","InformationSubmissionQuarter","ProjectName","ProjectStatus","FundingStatus","ProcurementType","ProjectRegion","ProjectCityTown","CommissionAssignedInfrastructureSector","EstimatedProjectValueRange","EstimatedQuarterBusinessCaseStart","EstimatedQuarterBusinessCaseCompletion","EstimatedQuarterConstructionStart","EstimatedQuarterConstructionCompletion","EstimatedQuarterProjectRangeStart","EstimatedQuarterProjectRangeCompletion","complete","completedonorbefore","total_delay","planned_duration","actual_duration","delay_ratio","budget_min","budget_max","funding_status_indicator","project_status_indicator","completed_on_time","ProjectRegionCode","GDP_Start","CPI_Start","GDP_End","CPI_End","GDP_Delta_Percent","CPI_Delta_Percent"
"IP009601","2024-Q3","Watermain renewals 2025/26","In planning","Funding source confirmed","Open","Canterbury","Ashburton","Water","5 - 25 million",NA,NA,NA,NA,2025-07-01,2026-04-01,0,NA,NA,274,274,NA,5,25,1,1,NA,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866
"IP009602","2024-Q3","Montalto treatment and reticulation upgrades","Early planning","Funding source to be confirmed","To be determined","Canterbury","Ashburton","Water","5 - 25 million",NA,NA,NA,NA,2027-07-01,2028-04-01,0,NA,NA,275,275,NA,5,25,0,0,NA,3,75.72233,2.008215,77.22976,1.996746,1.99073377694532,-0.571104189541456
"IP009605","2024-Q3","Ashburton WWTP Fencing Replacement","Early planning","Funding source confirmed","To be determined","Canterbury","Ashburton","Water","< 1 million",NA,NA,NA,NA,2025-07-01,2026-04-01,0,NA,NA,274,274,NA,1,1,1,0,NA,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866
"IP009607","2024-Q3","Sewermain renewals 2025/26","Early planning","Funding source confirmed","Open","Canterbury","Ashburton","Water","1 - 5 million",NA,NA,NA,NA,2025-07-01,2026-04-01,0,NA,NA,274,274,NA,1,5,1,0,NA,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866
"IP009871","2024-Q3","Rakaia WWTP Sludge Drying Beds","Under construction","Fully funded","Open","Canterbury","Rakaia","Waste","1 - 5 million",NA,NA,2024-07-01,2024-07-01,2024-01-01,2024-10-01,1,1,-92,274,182,-0.505494505494505,1,5,0,0,0,3,69.307,4.655029,69.83852,2.715554,0.766906661664768,-41.6640798585788
"IP009872","2024-Q3","Second Bridge Watermains","Early planning","Funding source confirmed","To be determined","Canterbury","Ashburton","Transport","1 - 5 million",NA,NA,NA,NA,2026-07-01,2029-04-01,0,NA,NA,1005,1005,NA,1,5,1,0,NA,3,73.65541,2.048457,77.72758,1.99759,5.52867739111085,-2.48318612497114
"IP009873","2024-Q3","Methven WWTP Receiving Screen Renewal","Early planning","Funding source confirmed","To be determined","Canterbury","Methven","Water","< 1 million",NA,NA,NA,NA,2025-07-01,2026-04-01,0,NA,NA,274,274,NA,1,1,1,0,NA,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866
"IP009874","2024-Q3","Rakaia WWTP UV Renewal","Early planning","Funding source to be confirmed","To be determined","Canterbury","Rakaia","Water","< 1 million",NA,NA,NA,NA,2026-07-01,2027-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,3,73.65541,2.048457,75.21558,2.014421,2.11820150074516,-1.66154329819957
"IP009875","2024-Q3","Grit Chamber to River Pipeline Renewal","In procurement","Fully funded","Open","Canterbury","Ashburton","Water","1 - 5 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,5,0,0,NA,3,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP011379","2024-Q3","Filtration and UV disinfection installation - Package 1","Under construction","Fully funded","Open","Canterbury","Dromore, Mayfield, Hinds","Water","1 - 5 million",NA,NA,2024-07-01,NA,2023-10-01,2025-04-01,0,NA,NA,548,548,NA,1,5,0,0,NA,3,69.371,5.649241,70.79394,2.389024,2.05120295224231,-57.7107083942781
