"PrimaryKey","ProjectName","ProjectStatus","FundingStatus","ProcurementType","ProjectRegion","ProjectCityTown","CommissionAssignedInfrastructureSector","EstimatedProjectValueRange","EstimatedQuarterBusinessCaseStart","EstimatedQuarterBusinessCaseCompletion","EstimatedQuarterConstructionStart","EstimatedQuarterConstructionCompletion","EstimatedQuarterProjectRangeStart","EstimatedQuarterProjectRangeCompletion","planned_duration","funding_status_indicator","ProjectRegionCode","GDP_Start","CPI_Start","GDP_End","CPI_End","GDP_Delta_Percent","CPI_Delta_Percent","avg_group_delay","predicted_delay","likelihood"
"IP009601","Watermain renewals 2025/26","In planning","Funding source confirmed","Open","Canterbury","Ashburton","Water","5 - 25 million",NA,NA,NA,NA,2025-07-01,2026-04-01,274,1,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866,-36.8563535911602,30.3301339975812,94.6980139531748
"IP009602","Montalto treatment and reticulation upgrades","Early planning","Funding source to be confirmed","To be determined","Canterbury","Ashburton","Water","5 - 25 million",NA,NA,NA,NA,2027-07-01,2028-04-01,275,0,3,75.72233,2.008215,77.22976,1.996746,1.99073377694532,-0.571104189541456,-36.8563535911602,201.504451102965,97.8574469736956
"IP009605","Ashburton WWTP Fencing Replacement","Early planning","Funding source confirmed","To be determined","Canterbury","Ashburton","Water","< 1 million",NA,NA,NA,NA,2025-07-01,2026-04-01,274,1,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866,-36.8563535911602,314.401855121387,99.9412396373304
"IP009607","Sewermain renewals 2025/26","Early planning","Funding source confirmed","Open","Canterbury","Ashburton","Water","1 - 5 million",NA,NA,NA,NA,2025-07-01,2026-04-01,274,1,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866,-36.8563535911602,317.58542156749,100
"IP009872","Second Bridge Watermains","Early planning","Funding source confirmed","To be determined","Canterbury","Ashburton","Transport","1 - 5 million",NA,NA,NA,NA,2026-07-01,2029-04-01,1005,1,3,73.65541,2.048457,77.72758,1.99759,5.52867739111085,-2.48318612497114,-36.8563535911602,90.3993431421129,95.8067354371984
"IP009873","Methven WWTP Receiving Screen Renewal","Early planning","Funding source confirmed","To be determined","Canterbury","Methven","Water","< 1 million",NA,NA,NA,NA,2025-07-01,2026-04-01,274,1,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866,-36.8563535911602,314.401855121387,99.9412396373304
"IP009874","Rakaia WWTP UV Renewal","Early planning","Funding source to be confirmed","To be determined","Canterbury","Rakaia","Water","< 1 million",NA,NA,NA,NA,2026-07-01,2027-04-01,274,0,3,73.65541,2.048457,75.21558,2.014421,2.11820150074516,-1.66154329819957,-36.8563535911602,179.302362123952,97.4476541132302
"IP009875","Grit Chamber to River Pipeline Renewal","In procurement","Fully funded","Open","Canterbury","Ashburton","Water","1 - 5 million",NA,NA,NA,NA,2024-07-01,2025-04-01,274,0,3,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062,-36.8563535911602,182.485928570055,97.5064144758998
"IP011379","Filtration and UV disinfection installation - Package 1","Under construction","Fully funded","Open","Canterbury","Dromore, Mayfield, Hinds","Water","1 - 5 million",NA,NA,2024-07-01,NA,2023-10-01,2025-04-01,548,0,3,69.371,5.649241,70.79394,2.389024,2.05120295224231,-57.7107083942781,-36.8563535911602,97.3299976691614,95.9346573073531
"IP011380","Filtration and UV disinfection installation - Package 2","In procurement","Fully funded","Open","Canterbury","Rakaia, Tinwald, Chertsey","Water","1 - 5 million",NA,NA,2024-10-01,NA,2023-10-01,2025-04-01,548,0,3,69.371,5.649241,70.79394,2.389024,2.05120295224231,-57.7107083942781,-36.8563535911602,97.3299976691614,95.9346573073531
"IP011381","Filtration and UV disinfection installation - Package 3","In planning","Fully funded","Open","Canterbury","Ashburton","Water","1 - 5 million",NA,NA,2025-01-01,NA,2023-10-01,2025-10-01,731,0,3,69.371,5.649241,71.97811,2.149748,3.75821308615993,-61.946250832634,-36.8563535911602,-266.128817126228,89.2261521969926
"IP011382","Wilkins Road Sludge Removal","Early planning","Funding source confirmed","To be determined","Canterbury","Ashburton","Waste","5 - 25 million",NA,NA,NA,NA,2028-07-01,2029-04-01,274,1,3,77.72758,1.99759,77.72758,1.99759,0,0,-36.8563535911602,336.914732169381,100
"IP011383","Manhole level/surcharge monitoring","Early planning","Funding source confirmed","To be determined","Canterbury","Ashburton","Water","< 1 million",NA,NA,NA,NA,2027-07-01,2028-04-01,275,1,3,75.72233,2.008215,77.22976,1.996746,1.99073377694532,-0.571104189541456,-36.8563535911602,314.091067052406,99.9355032972992
"IP011384","Methven WWTP Aerator Renewal","Early planning","Funding source confirmed","To be determined","Canterbury","Methven","Water","< 1 million",NA,NA,NA,NA,2025-07-01,2026-04-01,274,1,3,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866,-36.8563535911602,314.401855121387,99.9412396373304
"IP011385","Rakaia WWTP Receiving Screen Renewal","Early planning","Funding source confirmed","To be determined","Canterbury","Rakaia","Water","< 1 million",NA,NA,NA,NA,2026-07-01,2027-04-01,274,1,3,73.65541,2.048457,75.21558,2.014421,2.11820150074516,-1.66154329819957,-36.8563535911602,314.401855121387,99.9412396373304
"IP011386","Rakaia WTP Additional Reservoir","Early planning","Funding source confirmed","To be determined","Canterbury","Rakaia","Water","< 1 million",NA,NA,NA,NA,2028-07-01,2029-04-01,274,1,3,77.72758,1.99759,77.72758,1.99759,0,0,-36.8563535911602,314.401855121387,99.9412396373304
